frame,time,head_tx,head_ty,head_tz,head_rx,head_ry,head_rz,Brows Inner Up,Brows Inner Down,Brows Outer Up,Brows Outer Down,Lip Stretch,Lip Kiss,Lip Corners Up,Lip Corners Down,Upper Lip Up,Upper Lip Down,Jaw Open,Mouth_Upper_C_tx,Mouth_Upper_C_ty,Mouth_Upper_C_tz,Mouth_Lower_C_tx,Mouth_Lower_C_ty,Mouth_Lower_C_tz,Chin_tx,Chin_ty,Chin_tz,Brow_Outer_L_tx,Brow_Outer_L_ty,Brow_Outer_L_tz,Brow_Inner_L_tx,Brow_Inner_L_ty,Brow_Inner_L_tz,Brow_Middle_L_tx,Brow_Middle_L_ty,Brow_Middle_L_tz,Mouth_Corner_L_tx,Mouth_Corner_L_ty,Mouth_Corner_L_tz,Mouth_Inner_Lower_C_tx,Mouth_Inner_Lower_C_ty,Mouth_Inner_Lower_C_tz,Brow_Outer_R_tx,Brow_Outer_R_ty,Brow_Outer_R_tz,Brow_Inner_R_tx,Brow_Inner_R_ty,Brow_Inner_R_tz,Brow_Middle_R_tx,Brow_Middle_R_ty,Brow_Middle_R_tz,Mouth_Corner_R_tx,Mouth_Corner_R_ty,Mouth_Corner_R_tz,Mouth_Upper_L_tx,Mouth_Upper_L_ty,Mouth_Upper_L_tz,Mouth_Upper_R_tx,Mouth_Upper_R_ty,Mouth_Upper_R_tz,Mouth_Inner_Upper_L_tx,Mouth_Inner_Upper_L_ty,Mouth_Inner_Upper_L_tz,Mouth_Inner_Upper_R_tx,Mouth_Inner_Upper_R_ty,Mouth_Inner_Upper_R_tz,Mouth_Inner_Lower_L_tx,Mouth_Inner_Lower_L_ty,Mouth_Inner_Lower_L_tz,Mouth_Inner_Lower_R_tx,Mouth_Inner_Lower_R_ty,Mouth_Inner_Lower_R_tz,Mouth_Lower_L_tx,Mouth_Lower_L_ty,Mouth_Lower_L_tz,Mouth_Lower_R_tx,Mouth_Lower_R_ty,Mouth_Lower_R_tz,Mouth_Inner_Upper_C_tx,Mouth_Inner_Upper_C_ty,Mouth_Inner_Upper_C_tz,Mouth_Inner_Corner_L_tx,Mouth_Inner_Corner_L_ty,Mouth_Inner_Corner_L_tz,Mouth_Inner_Corner_R_tx,Mouth_Inner_Corner_R_ty,Mouth_Inner_Corner_R_tz,Cheek_L_tx,Cheek_L_ty,Cheek_L_tz,Cheek_R_tx,Cheek_R_ty,Cheek_R_tz
0,0.000000,0.020542,-0.021727,-0.987154,-5.752433,-0.618706,-1.064511,0.081668,-0.000142,-0.000000,0.093075,-0.000000,0.435656,0.185763,-0.003227,0.520666,-0.000000,-0.004713,-0.000229,-0.012615,0.117414,-0.000256,-0.029955,0.117274,-0.000286,-0.058624,0.108815,0.050256,0.054835,0.091204,0.013456,0.056847,0.112038,0.038419,0.059818,0.104703,0.018836,-0.021822,0.105637,-0.000238,-0.022303,0.114027,-0.050417,0.054986,0.091024,-0.013687,0.056888,0.111989,-0.038614,0.059933,0.104565,-0.019280,-0.021762,0.105570,0.009310,-0.014218,0.110527,-0.009748,-0.014188,0.110493,0.007285,-0.019990,0.109267,-0.007737,-0.019966,0.109240,0.007284,-0.022236,0.108038,-0.007738,-0.022212,0.108011,0.009291,-0.027588,0.109302,-0.009767,-0.027558,0.109268,-0.000235,-0.019367,0.115255,0.014806,-0.020889,0.102855,-0.015238,-0.020842,0.102802,0.032184,-0.023483,0.098566,-0.032608,-0.023380,0.098451
1,0.033333,0.021622,-0.022950,-0.986500,-4.949831,-1.264871,-0.690333,0.135534,-0.000000,-0.000000,0.057865,-0.000000,0.451501,0.083267,-0.000001,0.502968,-0.000000,-0.000002,-0.000178,-0.012174,0.115728,-0.000211,-0.029991,0.115479,-0.000252,-0.057914,0.106891,0.049647,0.054673,0.089749,0.013937,0.056452,0.110366,0.038325,0.059815,0.102973,0.018068,-0.022292,0.104177,-0.000192,-0.022393,0.112248,-0.049678,0.054858,0.089619,-0.014015,0.056504,0.110329,-0.038371,0.059958,0.102872,-0.018431,-0.022224,0.104128,0.008953,-0.013986,0.108820,-0.009297,-0.013951,0.108796,0.006964,-0.019708,0.107579,-0.007326,-0.019681,0.107560,0.006961,-0.022398,0.106244,-0.007329,-0.022372,0.106225,0.008929,-0.027781,0.107489,-0.009321,-0.027747,0.107464,-0.000188,-0.018880,0.113583,0.014115,-0.021133,0.101433,-0.014466,-0.021080,0.101395,0.031492,-0.023256,0.097182,-0.031840,-0.023137,0.097098
2,0.066667,0.021622,-0.022950,-0.986500,-4.949831,-1.264871,-0.690333,0.135534,-0.000000,-0.000000,0.057865,-0.000000,0.451501,0.083267,-0.000001,0.502968,-0.000000,-0.000002,-0.000178,-0.012174,0.115728,-0.000211,-0.029991,0.115479,-0.000252,-0.057914,0.106891,0.049647,0.054673,0.089749,0.013937,0.056452,0.110366,0.038325,0.059815,0.102973,0.018068,-0.022292,0.104177,-0.000192,-0.022393,0.112248,-0.049678,0.054858,0.089619,-0.014015,0.056504,0.110329,-0.038371,0.059958,0.102872,-0.018431,-0.022224,0.104128,0.008953,-0.013986,0.108820,-0.009297,-0.013951,0.108796,0.006964,-0.019708,0.107579,-0.007326,-0.019681,0.107560,0.006961,-0.022398,0.106244,-0.007329,-0.022372,0.106225,0.008929,-0.027781,0.107489,-0.009321,-0.027747,0.107464,-0.000188,-0.018880,0.113583,0.014115,-0.021133,0.101433,-0.014466,-0.021080,0.101395,0.031492,-0.023256,0.097182,-0.031840,-0.023137,0.097098
3,0.100000,0.021622,-0.022950,-0.986500,-4.949831,-1.264871,-0.690333,0.135534,-0.000000,-0.000000,0.057865,-0.000000,0.451501,0.083267,-0.000001,0.502968,-0.000000,-0.000002,-0.000178,-0.012174,0.115728,-0.000211,-0.029991,0.115479,-0.000252,-0.057914,0.106891,0.049647,0.054673,0.089749,0.013937,0.056452,0.110366,0.038325,0.059815,0.102973,0.018068,-0.022292,0.104177,-0.000192,-0.022393,0.112248,-0.049678,0.054858,0.089619,-0.014015,0.056504,0.110329,-0.038371,0.059958,0.102872,-0.018431,-0.022224,0.104128,0.008953,-0.013986,0.108820,-0.009297,-0.013951,0.108796,0.006964,-0.019708,0.107579,-0.007326,-0.019681,0.107560,0.006961,-0.022398,0.106244,-0.007329,-0.022372,0.106225,0.008929,-0.027781,0.107489,-0.009321,-0.027747,0.107464,-0.000188,-0.018880,0.113583,0.014115,-0.021133,0.101433,-0.014466,-0.021080,0.101395,0.031492,-0.023256,0.097182,-0.031840,-0.023137,0.097098
4,0.133333,0.021622,-0.022950,-0.986500,-4.949831,-1.264871,-0.690333,0.135534,-0.000000,-0.000000,0.057865,-0.000000,0.451501,0.083267,-0.000001,0.502968,-0.000000,-0.000002,-0.000178,-0.012174,0.115728,-0.000211,-0.029991,0.115479,-0.000252,-0.057914,0.106891,0.049647,0.054673,0.089749,0.013937,0.056452,0.110366,0.038325,0.059815,0.102973,0.018068,-0.022292,0.104177,-0.000192,-0.022393,0.112248,-0.049678,0.054858,0.089619,-0.014015,0.056504,0.110329,-0.038371,0.059958,0.102872,-0.018431,-0.022224,0.104128,0.008953,-0.013986,0.108820,-0.009297,-0.013951,0.108796,0.006964,-0.019708,0.107579,-0.007326,-0.019681,0.107560,0.006961,-0.022398,0.106244,-0.007329,-0.022372,0.106225,0.008929,-0.027781,0.107489,-0.009321,-0.027747,0.107464,-0.000188,-0.018880,0.113583,0.014115,-0.021133,0.101433,-0.014466,-0.021080,0.101395,0.031492,-0.023256,0.097182,-0.031840,-0.023137,0.097098
5,0.166667,0.021622,-0.022950,-0.986500,-4.949831,-1.264871,-0.690333,0.135534,-0.000000,-0.000000,0.057865,-0.000000,0.451501,0.083267,-0.000001,0.502968,-0.000000,-0.000002,-0.000178,-0.012174,0.115728,-0.000211,-0.029991,0.115479,-0.000252,-0.057914,0.106891,0.049647,0.054673,0.089749,0.013937,0.056452,0.110366,0.038325,0.059815,0.102973,0.018068,-0.022292,0.104177,-0.000192,-0.022393,0.112248,-0.049678,0.054858,0.089619,-0.014015,0.056504,0.110329,-0.038371,0.059958,0.102872,-0.018431,-0.022224,0.104128,0.008953,-0.013986,0.108820,-0.009297,-0.013951,0.108796,0.006964,-0.019708,0.107579,-0.007326,-0.019681,0.107560,0.006961,-0.022398,0.106244,-0.007329,-0.022372,0.106225,0.008929,-0.027781,0.107489,-0.009321,-0.027747,0.107464,-0.000188,-0.018880,0.113583,0.014115,-0.021133,0.101433,-0.014466,-0.021080,0.101395,0.031492,-0.023256,0.097182,-0.031840,-0.023137,0.097098
6,0.200000,0.021622,-0.022950,-0.986500,-4.949831,-1.264871,-0.690333,0.135534,-0.000000,-0.000000,0.057865,-0.000000,0.451501,0.083267,-0.000001,0.502968,-0.000000,-0.000002,-0.000178,-0.012174,0.115728,-0.000211,-0.029991,0.115479,-0.000252,-0.057914,0.106891,0.049647,0.054673,0.089749,0.013937,0.056452,0.110366,0.038325,0.059815,0.102973,0.018068,-0.022292,0.104177,-0.000192,-0.022393,0.112248,-0.049678,0.054858,0.089619,-0.014015,0.056504,0.110329,-0.038371,0.059958,0.102872,-0.018431,-0.022224,0.104128,0.008953,-0.013986,0.108820,-0.009297,-0.013951,0.108796,0.006964,-0.019708,0.107579,-0.007326,-0.019681,0.107560,0.006961,-0.022398,0.106244,-0.007329,-0.022372,0.106225,0.008929,-0.027781,0.107489,-0.009321,-0.027747,0.107464,-0.000188,-0.018880,0.113583,0.014115,-0.021133,0.101433,-0.014466,-0.021080,0.101395,0.031492,-0.023256,0.097182,-0.031840,-0.023137,0.097098
7,0.233333,0.021622,-0.022950,-0.986500,-4.949831,-1.264871,-0.690333,0.135534,-0.000000,-0.000000,0.057865,-0.000000,0.451501,0.083267,-0.000001,0.502968,-0.000000,-0.000002,-0.000178,-0.012174,0.115728,-0.000211,-0.029991,0.115479,-0.000252,-0.057914,0.106891,0.049647,0.054673,0.089749,0.013937,0.056452,0.110366,0.038325,0.059815,0.102973,0.018068,-0.022292,0.104177,-0.000192,-0.022393,0.112248,-0.049678,0.054858,0.089619,-0.014015,0.056504,0.110329,-0.038371,0.059958,0.102872,-0.018431,-0.022224,0.104128,0.008953,-0.013986,0.108820,-0.009297,-0.013951,0.108796,0.006964,-0.019708,0.107579,-0.007326,-0.019681,0.107560,0.006961,-0.022398,0.106244,-0.007329,-0.022372,0.106225,0.008929,-0.027781,0.107489,-0.009321,-0.027747,0.107464,-0.000188,-0.018880,0.113583,0.014115,-0.021133,0.101433,-0.014466,-0.021080,0.101395,0.031492,-0.023256,0.097182,-0.031840,-0.023137,0.097098
8,0.266667,0.021641,-0.023020,-0.986528,-4.920663,-1.289071,-0.767111,0.133027,-0.000000,-0.000000,0.056999,-0.000000,0.453073,0.088956,-0.000001,0.502528,-0.000000,-0.000001,-0.000176,-0.012180,0.115733,-0.000209,-0.029979,0.115485,-0.000250,-0.057914,0.106903,0.049650,0.054661,0.089761,0.013927,0.056447,0.110378,0.038321,0.059799,0.102987,0.018085,-0.022272,0.104173,-0.000191,-0.022385,0.112257,-0.049682,0.054846,0.089630,-0.014007,0.056499,0.110341,-0.038368,0.059942,0.102886,-0.018444,-0.022204,0.104124,0.008962,-0.013986,0.108827,-0.009303,-0.013952,0.108803,0.006972,-0.019706,0.107586,-0.007331,-0.019680,0.107567,0.006969,-0.022388,0.106253,-0.007334,-0.022361,0.106234,0.008938,-0.027766,0.107498,-0.009327,-0.027732,0.107473,-0.000186,-0.018884,0.113590,0.014129,-0.021119,0.101430,-0.014477,-0.021066,0.101391,0.031502,-0.023252,0.097182,-0.031847,-0.023134,0.097098
9,0.300000,0.021641,-0.023020,-0.986528,-4.920663,-1.289071,-0.767111,0.133027,-0.000000,-0.000000,0.056999,-0.000000,0.453073,0.088956,-0.000001,0.502528,-0.000000,-0.000001,-0.000176,-0.012180,0.115733,-0.000209,-0.029979,0.115485,-0.000250,-0.057914,0.106903,0.049650,0.054661,0.089761,0.013927,0.056447,0.110378,0.038321,0.059799,0.102987,0.018085,-0.022272,0.104173,-0.000191,-0.022385,0.112257,-0.049682,0.054846,0.089630,-0.014007,0.056499,0.110341,-0.038368,0.059942,0.102886,-0.018444,-0.022204,0.104124,0.008962,-0.013986,0.108827,-0.009303,-0.013952,0.108803,0.006972,-0.019706,0.107586,-0.007331,-0.019680,0.107567,0.006969,-0.022388,0.106253,-0.007334,-0.022361,0.106234,0.008938,-0.027766,0.107498,-0.009327,-0.027732,0.107473,-0.000186,-0.018884,0.113590,0.014129,-0.021119,0.101430,-0.014477,-0.021066,0.101391,0.031502,-0.023252,0.097182,-0.031847,-0.023134,0.097098
