frame,time,head_tx,head_ty,head_tz,head_rx,head_ry,head_rz,Brows Inner Up,Brows Inner Down,Brows Outer Up,Brows Outer Down,Lip Stretch,Lip Kiss,Lip Corners Up,Lip Corners Down,Upper Lip Up,Upper Lip Down,Jaw Open,Mouth_Upper_C_tx,Mouth_Upper_C_ty,Mouth_Upper_C_tz,Mouth_Lower_C_tx,Mouth_Lower_C_ty,Mouth_Lower_C_tz,Chin_tx,Chin_ty,Chin_tz,Brow_Outer_L_tx,Brow_Outer_L_ty,Brow_Outer_L_tz,Brow_Inner_L_tx,Brow_Inner_L_ty,Brow_Inner_L_tz,Brow_Middle_L_tx,Brow_Middle_L_ty,Brow_Middle_L_tz,Mouth_Corner_L_tx,Mouth_Corner_L_ty,Mouth_Corner_L_tz,Mouth_Inner_Lower_C_tx,Mouth_Inner_Lower_C_ty,Mouth_Inner_Lower_C_tz,Brow_Outer_R_tx,Brow_Outer_R_ty,Brow_Outer_R_tz,Brow_Inner_R_tx,Brow_Inner_R_ty,Brow_Inner_R_tz,Brow_Middle_R_tx,Brow_Middle_R_ty,Brow_Middle_R_tz,Mouth_Corner_R_tx,Mouth_Corner_R_ty,Mouth_Corner_R_tz,Mouth_Upper_L_tx,Mouth_Upper_L_ty,Mouth_Upper_L_tz,Mouth_Upper_R_tx,Mouth_Upper_R_ty,Mouth_Upper_R_tz,Mouth_Inner_Upper_L_tx,Mouth_Inner_Upper_L_ty,Mouth_Inner_Upper_L_tz,Mouth_Inner_Upper_R_tx,Mouth_Inner_Upper_R_ty,Mouth_Inner_Upper_R_tz,Mouth_Inner_Lower_L_tx,Mouth_Inner_Lower_L_ty,Mouth_Inner_Lower_L_tz,Mouth_Inner_Lower_R_tx,Mouth_Inner_Lower_R_ty,Mouth_Inner_Lower_R_tz,Mouth_Lower_L_tx,Mouth_Lower_L_ty,Mouth_Lower_L_tz,Mouth_Lower_R_tx,Mouth_Lower_R_ty,Mouth_Lower_R_tz,Mouth_Inner_Upper_C_tx,Mouth_Inner_Upper_C_ty,Mouth_Inner_Upper_C_tz,Mouth_Inner_Corner_L_tx,Mouth_Inner_Corner_L_ty,Mouth_Inner_Corner_L_tz,Mouth_Inner_Corner_R_tx,Mouth_Inner_Corner_R_ty,Mouth_Inner_Corner_R_tz,Cheek_L_tx,Cheek_L_ty,Cheek_L_tz,Cheek_R_tx,Cheek_R_ty,Cheek_R_tz
10,0.333333,0.032360,-0.018788,-0.973782,1.470789,3.764445,-0.802755,0.088328,-0.012860,-0.000000,0.045542,0.398626,0.000000,-0.000298,0.090497,0.000000,0.167167,0.163820,0.000009,-0.018594,0.112718,-0.000012,-0.030862,0.112544,-0.000059,-0.055251,0.102613,0.049766,0.052171,0.089636,0.013498,0.053458,0.110319,0.038052,0.056967,0.102953,0.025715,-0.021104,0.096559,-0.000004,-0.025895,0.110729,-0.049519,0.052343,0.089672,-0.013231,0.053505,0.110329,-0.037778,0.057099,0.102981,-0.025717,-0.021014,0.096578,0.012866,-0.017262,0.104651,-0.012849,-0.017217,0.104660,0.010477,-0.021360,0.103409,-0.010476,-0.021323,0.103417,0.010471,-0.024775,0.102761,-0.010482,-0.024738,0.102769,0.012847,-0.028467,0.103995,-0.012869,-0.028422,0.104005,0.000004,-0.021461,0.111378,0.020950,-0.021690,0.094667,-0.020956,-0.021617,0.094682,0.034970,-0.020338,0.093761,-0.034971,-0.020216,0.093787
11,0.366667,0.032348,-0.018814,-0.973728,1.474446,3.802154,-0.796053,0.082392,-0.007086,-0.000000,0.050191,0.397646,0.000000,-0.000153,0.086736,0.000000,0.163125,0.161827,0.000009,-0.018587,0.112720,-0.000013,-0.030845,0.112547,-0.000059,-0.055243,0.102622,0.049765,0.052141,0.089637,0.013471,0.053429,0.110319,0.038034,0.056926,0.102959,0.025715,-0.021094,0.096559,-0.000005,-0.025879,0.110732,-0.049516,0.052315,0.089674,-0.013203,0.053476,0.110329,-0.037759,0.057058,0.102987,-0.025718,-0.021004,0.096578,0.012867,-0.017256,0.104654,-0.012850,-0.017211,0.104663,0.010478,-0.021354,0.103412,-0.010476,-0.021317,0.103419,0.010471,-0.024760,0.102765,-0.010483,-0.024723,0.102773,0.012847,-0.028451,0.104000,-0.012870,-0.028406,0.104009,0.000003,-0.021456,0.111380,0.020951,-0.021680,0.094667,-0.020957,-0.021607,0.094682,0.034970,-0.020336,0.093761,-0.034972,-0.020213,0.093787
12,0.400000,0.032295,-0.018861,-0.973656,1.487501,3.875420,-0.779732,0.074798,-0.001961,-0.000000,0.053979,0.397284,0.000000,-0.000038,0.082372,0.000000,0.159161,0.159422,0.000009,-0.018583,0.112721,-0.000013,-0.030834,0.112549,-0.000060,-0.055238,0.102628,0.049763,0.052106,0.089640,0.013439,0.053394,0.110319,0.038013,0.056877,0.102965,0.025716,-0.021087,0.096559,-0.000005,-0.025868,0.110734,-0.049514,0.052281,0.089676,-0.013170,0.053441,0.110329,-0.037737,0.057010,0.102993,-0.025719,-0.020997,0.096578,0.012867,-0.017252,0.104656,-0.012850,-0.017207,0.104665,0.010478,-0.021350,0.103414,-0.010477,-0.021313,0.103421,0.010471,-0.024751,0.102768,-0.010483,-0.024714,0.102776,0.012847,-0.028441,0.104003,-0.012870,-0.028396,0.104012,0.000003,-0.021452,0.111381,0.020951,-0.021674,0.094667,-0.020958,-0.021600,0.094682,0.034970,-0.020334,0.093761,-0.034973,-0.020211,0.093786
13,0.433333,0.032275,-0.018875,-0.973636,1.492173,3.898497,-0.774282,0.073067,-0.001001,-0.000000,0.054644,0.397283,0.000000,-0.000019,0.081419,0.000000,0.158369,0.158887,0.000009,-0.018582,0.112721,-0.000013,-0.030833,0.112549,-0.000060,-0.055237,0.102629,0.049762,0.052096,0.089640,0.013429,0.053384,0.110319,0.038007,0.056863,0.102967,0.025716,-0.021086,0.096559,-0.000005,-0.025867,0.110735,-0.049513,0.052271,0.089677,-0.013161,0.053431,0.110329,-0.037731,0.056996,0.102995,-0.025719,-0.020996,0.096578,0.012867,-0.017252,0.104656,-0.012851,-0.017206,0.104666,0.010478,-0.021350,0.103414,-0.010477,-0.021313,0.103422,0.010471,-0.024749,0.102769,-0.010483,-0.024712,0.102776,0.012847,-0.028440,0.104003,-0.012871,-0.028394,0.104013,0.000003,-0.021452,0.111381,0.020951,-0.021673,0.094667,-0.020958,-0.021599,0.094682,0.034970,-0.020334,0.093761,-0.034973,-0.020210,0.093786
14,0.466667,0.032262,-0.018884,-0.973624,1.495378,3.913812,-0.770606,0.072109,-0.000504,-0.000000,0.054980,0.397296,0.000000,-0.000009,0.080898,0.000000,0.157948,0.158594,0.000009,-0.018582,0.112721,-0.000013,-0.030832,0.112550,-0.000060,-0.055237,0.102629,0.049762,0.052089,0.089641,0.013423,0.053377,0.110319,0.038002,0.056853,0.102968,0.025716,-0.021086,0.096559,-0.000005,-0.025866,0.110735,-0.049513,0.052264,0.089677,-0.013154,0.053424,0.110329,-0.037726,0.056987,0.102996,-0.025719,-0.020995,0.096578,0.012867,-0.017251,0.104656,-0.012851,-0.017206,0.104666,0.010478,-0.021349,0.103414,-0.010477,-0.021312,0.103422,0.010471,-0.024749,0.102769,-0.010483,-0.024712,0.102777,0.012847,-0.028439,0.104003,-0.012871,-0.028394,0.104013,0.000003,-0.021452,0.111381,0.020951,-0.021672,0.094667,-0.020958,-0.021598,0.094682,0.034970,-0.020334,0.093761,-0.034973,-0.020210,0.093786
15,0.500000,0.029911,-0.019319,-0.973001,2.015820,5.140457,-1.451543,-0.020514,0.098804,-0.000000,0.268846,0.400871,0.000000,-0.000002,0.057080,0.000000,0.178953,0.212912,0.000032,-0.018949,0.112637,-0.000006,-0.032718,0.112166,-0.000080,-0.056229,0.101542,0.049439,0.047684,0.090067,0.011405,0.050745,0.110365,0.036683,0.051795,0.103685,0.025761,-0.020968,0.096516,0.000006,-0.027761,0.110362,-0.049033,0.047959,0.090143,-0.010952,0.050808,0.110382,-0.036233,0.051999,0.103741,-0.025732,-0.020825,0.096555,0.012904,-0.017466,0.104599,-0.012843,-0.017394,0.104619,0.010508,-0.021554,0.103354,-0.010472,-0.021495,0.103370,0.010495,-0.026183,0.102422,-0.010486,-0.026125,0.102438,0.012869,-0.029853,0.103652,-0.012878,-0.029781,0.103671,0.000024,-0.021748,0.111297,0.020991,-0.021811,0.094625,-0.020969,-0.021694,0.094656,0.034999,-0.020394,0.093714,-0.034970,-0.020198,0.093767
16,0.533333,0.029911,-0.019319,-0.973001,2.015820,5.140457,-1.451543,-0.020514,0.098804,-0.000000,0.268846,0.400871,0.000000,-0.000002,0.057080,0.000000,0.178953,0.212912,0.000032,-0.018949,0.112637,-0.000006,-0.032718,0.112166,-0.000080,-0.056229,0.101542,0.049439,0.047684,0.090067,0.011405,0.050745,0.110365,0.036683,0.051795,0.103685,0.025761,-0.020968,0.096516,0.000006,-0.027761,0.110362,-0.049033,0.047959,0.090143,-0.010952,0.050808,0.110382,-0.036233,0.051999,0.103741,-0.025732,-0.020825,0.096555,0.012904,-0.017466,0.104599,-0.012843,-0.017394,0.104619,0.010508,-0.021554,0.103354,-0.010472,-0.021495,0.103370,0.010495,-0.026183,0.102422,-0.010486,-0.026125,0.102438,0.012869,-0.029853,0.103652,-0.012878,-0.029781,0.103671,0.000024,-0.021748,0.111297,0.020991,-0.021811,0.094625,-0.020969,-0.021694,0.094656,0.034999,-0.020394,0.093714,-0.034970,-0.020198,0.093767
17,0.566667,0.030665,-0.019298,-0.972613,2.093107,4.759716,-0.726526,-0.017132,0.229776,-0.000000,0.269007,0.431802,0.000000,-0.000001,0.092749,0.000000,0.195797,0.210244,-0.000016,-0.019067,0.112581,-0.000052,-0.032273,0.112193,-0.000120,-0.055999,0.101730,0.049433,0.047342,0.089994,0.009897,0.049461,0.110307,0.035663,0.050708,0.103796,0.026000,-0.021325,0.096239,-0.000039,-0.027420,0.110436,-0.049108,0.047611,0.090030,-0.009547,0.049515,0.110314,-0.035310,0.050902,0.103821,-0.026054,-0.021183,0.096256,0.012999,-0.017608,0.104447,-0.013028,-0.017537,0.104456,0.010589,-0.021635,0.103206,-0.010641,-0.021577,0.103213,0.010577,-0.026001,0.102367,-0.010653,-0.025943,0.102374,0.012966,-0.029631,0.103603,-0.013061,-0.029561,0.103611,-0.000024,-0.021750,0.111277,0.021200,-0.022062,0.094385,-0.021259,-0.021946,0.094398,0.035083,-0.020408,0.093631,-0.035134,-0.020217,0.093653
18,0.600000,0.032079,-0.018602,-0.972175,1.395010,3.812460,-0.138947,-0.006669,0.269407,-0.000000,0.324997,0.505423,0.000000,-0.000000,0.022960,0.000000,0.166044,0.178483,-0.000015,-0.018770,0.112628,-0.000035,-0.031146,0.112286,-0.000075,-0.055508,0.102277,0.049212,0.046172,0.090130,0.009608,0.049167,0.110288,0.035442,0.049570,0.103955,0.026492,-0.020356,0.095831,-0.000028,-0.026468,0.110622,-0.049039,0.046331,0.090143,-0.009421,0.049198,0.110291,-0.035255,0.049684,0.103964,-0.026532,-0.020272,0.095838,0.013242,-0.017255,0.104573,-0.013270,-0.017213,0.104576,0.010810,-0.021178,0.103333,-0.010851,-0.021143,0.103335,0.010804,-0.025056,0.102576,-0.010857,-0.025022,0.102579,0.013224,-0.028495,0.103814,-0.013288,-0.028453,0.103817,-0.000020,-0.021430,0.111379,0.021639,-0.021201,0.094017,-0.021682,-0.021132,0.094023,0.035304,-0.020079,0.093429,-0.035344,-0.019968,0.093438
19,0.633333,0.032154,-0.018547,-0.972200,1.328507,3.770392,-0.149348,-0.003721,0.250417,-0.000000,0.321047,0.502046,0.000000,-0.000000,0.023965,0.000000,0.162097,0.175386,-0.000015,-0.018784,0.112626,-0.000035,-0.031207,0.112282,-0.000076,-0.055536,0.102248,0.049220,0.046241,0.090124,0.009651,0.049212,0.110289,0.035471,0.049653,0.103944,0.026462,-0.020388,0.095858,-0.000027,-0.026518,0.110612,-0.049044,0.046402,0.090138,-0.009460,0.049243,0.110292,-0.035280,0.049769,0.103954,-0.026501,-0.020302,0.095866,0.013228,-0.017269,0.104570,-0.013254,-0.017226,0.104574,0.010797,-0.021198,0.103330,-0.010837,-0.021162,0.103333,0.010791,-0.025102,0.102569,-0.010843,-0.025067,0.102572,0.013209,-0.028551,0.103806,-0.013273,-0.028508,0.103810,-0.000019,-0.021447,0.111373,0.021613,-0.021232,0.094041,-0.021655,-0.021162,0.094047,0.035292,-0.020093,0.093440,-0.035330,-0.019977,0.093451
