frame,time,head_tx,head_ty,head_tz,head_rx,head_ry,head_rz,Brows Inner Up,Brows Inner Down,Brows Outer Up,Brows Outer Down,Lip Stretch,Lip Kiss,Lip Corners Up,Lip Corners Down,Upper Lip Up,Upper Lip Down,Jaw Open,Mouth_Upper_C_tx,Mouth_Upper_C_ty,Mouth_Upper_C_tz,Mouth_Lower_C_tx,Mouth_Lower_C_ty,Mouth_Lower_C_tz,Chin_tx,Chin_ty,Chin_tz,Brow_Outer_L_tx,Brow_Outer_L_ty,Brow_Outer_L_tz,Brow_Inner_L_tx,Brow_Inner_L_ty,Brow_Inner_L_tz,Brow_Middle_L_tx,Brow_Middle_L_ty,Brow_Middle_L_tz,Mouth_Corner_L_tx,Mouth_Corner_L_ty,Mouth_Corner_L_tz,Mouth_Inner_Lower_C_tx,Mouth_Inner_Lower_C_ty,Mouth_Inner_Lower_C_tz,Brow_Outer_R_tx,Brow_Outer_R_ty,Brow_Outer_R_tz,Brow_Inner_R_tx,Brow_Inner_R_ty,Brow_Inner_R_tz,Brow_Middle_R_tx,Brow_Middle_R_ty,Brow_Middle_R_tz,Mouth_Corner_R_tx,Mouth_Corner_R_ty,Mouth_Corner_R_tz,Mouth_Upper_L_tx,Mouth_Upper_L_ty,Mouth_Upper_L_tz,Mouth_Upper_R_tx,Mouth_Upper_R_ty,Mouth_Upper_R_tz,Mouth_Inner_Upper_L_tx,Mouth_Inner_Upper_L_ty,Mouth_Inner_Upper_L_tz,Mouth_Inner_Upper_R_tx,Mouth_Inner_Upper_R_ty,Mouth_Inner_Upper_R_tz,Mouth_Inner_Lower_L_tx,Mouth_Inner_Lower_L_ty,Mouth_Inner_Lower_L_tz,Mouth_Inner_Lower_R_tx,Mouth_Inner_Lower_R_ty,Mouth_Inner_Lower_R_tz,Mouth_Lower_L_tx,Mouth_Lower_L_ty,Mouth_Lower_L_tz,Mouth_Lower_R_tx,Mouth_Lower_R_ty,Mouth_Lower_R_tz,Mouth_Inner_Upper_C_tx,Mouth_Inner_Upper_C_ty,Mouth_Inner_Upper_C_tz,Mouth_Inner_Corner_L_tx,Mouth_Inner_Corner_L_ty,Mouth_Inner_Corner_L_tz,Mouth_Inner_Corner_R_tx,Mouth_Inner_Corner_R_ty,Mouth_Inner_Corner_R_tz,Cheek_L_tx,Cheek_L_ty,Cheek_L_tz,Cheek_R_tx,Cheek_R_ty,Cheek_R_tz
0,0.000000,0.028516,-0.018698,-0.983348,-3.756008,-0.142890,-3.529856,-0.000000,0.010423,-0.000000,0.031805,0.000000,0.065487,0.006630,-0.000000,0.000000,0.007800,0.092509,-0.000466,-0.017817,0.115368,-0.000467,-0.032100,0.115546,-0.000428,-0.055114,0.105683,0.050071,0.052941,0.091103,0.011996,0.053350,0.111974,0.037321,0.057203,0.104709,0.018279,-0.022030,0.102244,-0.000456,-0.025606,0.112919,-0.050801,0.052944,0.090696,-0.012896,0.053351,0.111873,-0.038161,0.057205,0.104405,-0.019104,-0.022028,0.102093,0.008910,-0.017094,0.107839,-0.009781,-0.017093,0.107763,0.006722,-0.022155,0.106573,-0.007583,-0.022155,0.106516,0.006724,-0.024784,0.105928,-0.007580,-0.024783,0.105870,0.008913,-0.029470,0.107195,-0.009779,-0.029469,0.107120,-0.000459,-0.022189,0.113564,0.013901,-0.022347,0.099840,-0.014708,-0.022346,0.099725,0.031625,-0.022095,0.097137,-0.032409,-0.022094,0.096879
1,0.033333,0.028516,-0.018698,-0.983348,-3.756008,-0.142890,-3.529856,-0.000000,0.010423,-0.000000,0.031805,0.000000,0.065487,0.006630,-0.000000,0.000000,0.007800,0.092509,-0.000466,-0.017817,0.115368,-0.000467,-0.032100,0.115546,-0.000428,-0.055114,0.105683,0.050071,0.052941,0.091103,0.011996,0.053350,0.111974,0.037321,0.057203,0.104709,0.018279,-0.022030,0.102244,-0.000456,-0.025606,0.112919,-0.050801,0.052944,0.090696,-0.012896,0.053351,0.111873,-0.038161,0.057205,0.104405,-0.019104,-0.022028,0.102093,0.008910,-0.017094,0.107839,-0.009781,-0.017093,0.107763,0.006722,-0.022155,0.106573,-0.007583,-0.022155,0.106516,0.006724,-0.024784,0.105928,-0.007580,-0.024783,0.105870,0.008913,-0.029470,0.107195,-0.009779,-0.029469,0.107120,-0.000459,-0.022189,0.113564,0.013901,-0.022347,0.099840,-0.014708,-0.022346,0.099725,0.031625,-0.022095,0.097137,-0.032409,-0.022094,0.096879
2,0.066667,0.028516,-0.018698,-0.983348,-3.756008,-0.142890,-3.529856,-0.000000,0.010423,-0.000000,0.031805,0.000000,0.065487,0.006630,-0.000000,0.000000,0.007800,0.092509,-0.000466,-0.017817,0.115368,-0.000467,-0.032100,0.115546,-0.000428,-0.055114,0.105683,0.050071,0.052941,0.091103,0.011996,0.053350,0.111974,0.037321,0.057203,0.104709,0.018279,-0.022030,0.102244,-0.000456,-0.025606,0.112919,-0.050801,0.052944,0.090696,-0.012896,0.053351,0.111873,-0.038161,0.057205,0.104405,-0.019104,-0.022028,0.102093,0.008910,-0.017094,0.107839,-0.009781,-0.017093,0.107763,0.006722,-0.022155,0.106573,-0.007583,-0.022155,0.106516,0.006724,-0.024784,0.105928,-0.007580,-0.024783,0.105870,0.008913,-0.029470,0.107195,-0.009779,-0.029469,0.107120,-0.000459,-0.022189,0.113564,0.013901,-0.022347,0.099840,-0.014708,-0.022346,0.099725,0.031625,-0.022095,0.097137,-0.032409,-0.022094,0.096879
3,0.100000,0.028516,-0.018698,-0.983348,-3.756008,-0.142890,-3.529856,-0.000000,0.010423,-0.000000,0.031805,0.000000,0.065487,0.006630,-0.000000,0.000000,0.007800,0.092509,-0.000466,-0.017817,0.115368,-0.000467,-0.032100,0.115546,-0.000428,-0.055114,0.105683,0.050071,0.052941,0.091103,0.011996,0.053350,0.111974,0.037321,0.057203,0.104709,0.018279,-0.022030,0.102244,-0.000456,-0.025606,0.112919,-0.050801,0.052944,0.090696,-0.012896,0.053351,0.111873,-0.038161,0.057205,0.104405,-0.019104,-0.022028,0.102093,0.008910,-0.017094,0.107839,-0.009781,-0.017093,0.107763,0.006722,-0.022155,0.106573,-0.007583,-0.022155,0.106516,0.006724,-0.024784,0.105928,-0.007580,-0.024783,0.105870,0.008913,-0.029470,0.107195,-0.009779,-0.029469,0.107120,-0.000459,-0.022189,0.113564,0.013901,-0.022347,0.099840,-0.014708,-0.022346,0.099725,0.031625,-0.022095,0.097137,-0.032409,-0.022094,0.096879
4,0.133333,0.028516,-0.018698,-0.983348,-3.756008,-0.142890,-3.529856,-0.000000,0.010423,-0.000000,0.031805,0.000000,0.065487,0.006630,-0.000000,0.000000,0.007800,0.092509,-0.000466,-0.017817,0.115368,-0.000467,-0.032100,0.115546,-0.000428,-0.055114,0.105683,0.050071,0.052941,0.091103,0.011996,0.053350,0.111974,0.037321,0.057203,0.104709,0.018279,-0.022030,0.102244,-0.000456,-0.025606,0.112919,-0.050801,0.052944,0.090696,-0.012896,0.053351,0.111873,-0.038161,0.057205,0.104405,-0.019104,-0.022028,0.102093,0.008910,-0.017094,0.107839,-0.009781,-0.017093,0.107763,0.006722,-0.022155,0.106573,-0.007583,-0.022155,0.106516,0.006724,-0.024784,0.105928,-0.007580,-0.024783,0.105870,0.008913,-0.029470,0.107195,-0.009779,-0.029469,0.107120,-0.000459,-0.022189,0.113564,0.013901,-0.022347,0.099840,-0.014708,-0.022346,0.099725,0.031625,-0.022095,0.097137,-0.032409,-0.022094,0.096879
5,0.166667,0.028516,-0.018698,-0.983348,-3.756008,-0.142890,-3.529856,-0.000000,0.010423,-0.000000,0.031805,0.000000,0.065487,0.006630,-0.000000,0.000000,0.007800,0.092509,-0.000466,-0.017817,0.115368,-0.000467,-0.032100,0.115546,-0.000428,-0.055114,0.105683,0.050071,0.052941,0.091103,0.011996,0.053350,0.111974,0.037321,0.057203,0.104709,0.018279,-0.022030,0.102244,-0.000456,-0.025606,0.112919,-0.050801,0.052944,0.090696,-0.012896,0.053351,0.111873,-0.038161,0.057205,0.104405,-0.019104,-0.022028,0.102093,0.008910,-0.017094,0.107839,-0.009781,-0.017093,0.107763,0.006722,-0.022155,0.106573,-0.007583,-0.022155,0.106516,0.006724,-0.024784,0.105928,-0.007580,-0.024783,0.105870,0.008913,-0.029470,0.107195,-0.009779,-0.029469,0.107120,-0.000459,-0.022189,0.113564,0.013901,-0.022347,0.099840,-0.014708,-0.022346,0.099725,0.031625,-0.022095,0.097137,-0.032409,-0.022094,0.096879
6,0.200000,0.028516,-0.018698,-0.983348,-3.756008,-0.142890,-3.529856,-0.000000,0.010423,-0.000000,0.031805,0.000000,0.065487,0.006630,-0.000000,0.000000,0.007800,0.092509,-0.000466,-0.017817,0.115368,-0.000467,-0.032100,0.115546,-0.000428,-0.055114,0.105683,0.050071,0.052941,0.091103,0.011996,0.053350,0.111974,0.037321,0.057203,0.104709,0.018279,-0.022030,0.102244,-0.000456,-0.025606,0.112919,-0.050801,0.052944,0.090696,-0.012896,0.053351,0.111873,-0.038161,0.057205,0.104405,-0.019104,-0.022028,0.102093,0.008910,-0.017094,0.107839,-0.009781,-0.017093,0.107763,0.006722,-0.022155,0.106573,-0.007583,-0.022155,0.106516,0.006724,-0.024784,0.105928,-0.007580,-0.024783,0.105870,0.008913,-0.029470,0.107195,-0.009779,-0.029469,0.107120,-0.000459,-0.022189,0.113564,0.013901,-0.022347,0.099840,-0.014708,-0.022346,0.099725,0.031625,-0.022095,0.097137,-0.032409,-0.022094,0.096879
7,0.233333,0.028516,-0.018698,-0.983348,-3.756008,-0.142890,-3.529856,-0.000000,0.010423,-0.000000,0.031805,0.000000,0.065487,0.006630,-0.000000,0.000000,0.007800,0.092509,-0.000466,-0.017817,0.115368,-0.000467,-0.032100,0.115546,-0.000428,-0.055114,0.105683,0.050071,0.052941,0.091103,0.011996,0.053350,0.111974,0.037321,0.057203,0.104709,0.018279,-0.022030,0.102244,-0.000456,-0.025606,0.112919,-0.050801,0.052944,0.090696,-0.012896,0.053351,0.111873,-0.038161,0.057205,0.104405,-0.019104,-0.022028,0.102093,0.008910,-0.017094,0.107839,-0.009781,-0.017093,0.107763,0.006722,-0.022155,0.106573,-0.007583,-0.022155,0.106516,0.006724,-0.024784,0.105928,-0.007580,-0.024783,0.105870,0.008913,-0.029470,0.107195,-0.009779,-0.029469,0.107120,-0.000459,-0.022189,0.113564,0.013901,-0.022347,0.099840,-0.014708,-0.022346,0.099725,0.031625,-0.022095,0.097137,-0.032409,-0.022094,0.096879
8,0.266667,0.028516,-0.018698,-0.983348,-3.756008,-0.142890,-3.529856,-0.000000,0.010423,-0.000000,0.031805,0.000000,0.065487,0.006630,-0.000000,0.000000,0.007800,0.092509,-0.000466,-0.017817,0.115368,-0.000467,-0.032100,0.115546,-0.000428,-0.055114,0.105683,0.050071,0.052941,0.091103,0.011996,0.053350,0.111974,0.037321,0.057203,0.104709,0.018279,-0.022030,0.102244,-0.000456,-0.025606,0.112919,-0.050801,0.052944,0.090696,-0.012896,0.053351,0.111873,-0.038161,0.057205,0.104405,-0.019104,-0.022028,0.102093,0.008910,-0.017094,0.107839,-0.009781,-0.017093,0.107763,0.006722,-0.022155,0.106573,-0.007583,-0.022155,0.106516,0.006724,-0.024784,0.105928,-0.007580,-0.024783,0.105870,0.008913,-0.029470,0.107195,-0.009779,-0.029469,0.107120,-0.000459,-0.022189,0.113564,0.013901,-0.022347,0.099840,-0.014708,-0.022346,0.099725,0.031625,-0.022095,0.097137,-0.032409,-0.022094,0.096879
9,0.300000,0.028516,-0.018698,-0.983348,-3.756008,-0.142890,-3.529856,-0.000000,0.010423,-0.000000,0.031805,0.000000,0.065487,0.006630,-0.000000,0.000000,0.007800,0.092509,-0.000466,-0.017817,0.115368,-0.000467,-0.032100,0.115546,-0.000428,-0.055114,0.105683,0.050071,0.052941,0.091103,0.011996,0.053350,0.111974,0.037321,0.057203,0.104709,0.018279,-0.022030,0.102244,-0.000456,-0.025606,0.112919,-0.050801,0.052944,0.090696,-0.012896,0.053351,0.111873,-0.038161,0.057205,0.104405,-0.019104,-0.022028,0.102093,0.008910,-0.017094,0.107839,-0.009781,-0.017093,0.107763,0.006722,-0.022155,0.106573,-0.007583,-0.022155,0.106516,0.006724,-0.024784,0.105928,-0.007580,-0.024783,0.105870,0.008913,-0.029470,0.107195,-0.009779,-0.029469,0.107120,-0.000459,-0.022189,0.113564,0.013901,-0.022347,0.099840,-0.014708,-0.022346,0.099725,0.031625,-0.022095,0.097137,-0.032409,-0.022094,0.096879
